Source,Target,Type,Id,Label,timeset,Weight,1,2,3,5,6
Denmark,Luxembourg,Undirected,324,,,4,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",3
Denmark,Belgium,Undirected,318,,,6,+,"2011  ","2011  ","Libyan Civil War (2011)  ",5
Denmark,Norway,Undirected,313,,,5,+,"2011  ","2011  ","Libyan Civil War (2011)  ",4
Denmark,India,Undirected,309,,,4,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",3
Denmark,Canada,Undirected,303,,,6,+,"2011  ","2011  ","Libyan Civil War (2011)  ",5
Denmark,British Empire,Undirected,302,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,New Zealand,Undirected,297,,,5,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",4
Denmark,Australia,Undirected,290,,,7,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",6
Denmark,Poland,Undirected,286,,,4,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",3
Denmark,Thailand,Undirected,283,,,3,+,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",2
Denmark,Finland,Undirected,277,,,3,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",2
Denmark,China,Undirected,273,,,4,+,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",3
Denmark,Slovakia,Undirected,270,,,3,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",2
Denmark,Romania,Undirected,262,,,8,+,"2011  ","2011  ","Libyan Civil War (2011)  ",7
Denmark,Croatia,Undirected,258,,,4,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",3
Denmark,Bulgaria,Undirected,252,,,6,+,"2011  ","2011  ","Libyan Civil War (2011)  ",5
Denmark,Japan,Undirected,250,,,2,+,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",1
Denmark,Italy,Undirected,241,,,9,+,"2011  ","2011  ","Libyan Civil War (2011)  ",8
Denmark,Germany,Undirected,235,,,6,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",5
Denmark,Portugal,Undirected,230,,,5,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",4
Denmark,United Kingdom,Undirected,221,,,9,+,"2011  ","2011  ","Libyan Civil War (2011)  ",8
Denmark,France,Undirected,205,,,12,+,"2011  ","2011  ","Libyan Civil War (2011)  ",11
Denmark,Spain,Undirected,197,,,7,+,"2011  ","2011  ","Libyan Civil War (2011)  ",6
Denmark,Hungary,Undirected,192,,,5,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",4
Denmark,Austria,Undirected,187,,,5,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",4
Denmark,Russia,Undirected,183,,,4,+,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",3
Denmark,Sweden,Undirected,170,,,13,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",12
Norway,Qatar,Undirected,680,,,1,+,"2011  ","2011  ","Libyan Civil War (2011)  ",0
Norway,Afghanistan,Undirected,676,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,United Arab Emirates,Undirected,674,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Ukraine,Undirected,672,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Tonga,Undirected,670,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Switzerland,Undirected,668,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Spain,Undirected,663,,,5,+,"2011  ","2011  ","Libyan Civil War (2011)  ",4
Norway,Slovenia,Undirected,661,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Singapore,Undirected,659,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Macedonia,Undirected,657,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Portugal,Undirected,655,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Montenegro,Undirected,653,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Mongolia,Undirected,651,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Latvia,Undirected,649,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Jordan,Undirected,646,,,3,+,"2011  ","2011  ","Libyan Civil War (2011)  ",2
Norway,Iceland,Undirected,644,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Georgia,Undirected,640,,,4,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",3
Norway,Estonia,Undirected,638,,,2,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Czech Republic,Undirected,634,,,4,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",3
